regime,xai_hr_coverage,xai_debt,xai_exposure_use,xai_violation,budget_hr_coverage,budget_debt,budget_exposure_use,budget_violation,threshold_hr_coverage,threshold_debt,threshold_exposure_use,threshold_violation
adversarial_explanation_flood,0.6696198058636408,4357.419311060403,1.0,0.0,0.736671332271074,7946.761591624304,0.9072318055555699,0.0,0.9274733236949398,852.5543000248765,2.308550416666526,0.5664399999999999
transient_overload,0.7303364877308914,3960.015897461887,0.9999355277777908,0.0,0.682640365677791,6710.616596735528,0.6488783055556228,0.0,0.841952144921691,2963.7029563952665,1.476459861111039,0.4281
non_markovian,0.7521744841515942,768.5710566403432,0.9540838888890193,0.0,0.6718506027269425,5792.082645515499,0.5727710277778324,0.0,0.8294759030248052,1602.1223633961347,1.3060829166666417,0.23006000000000001
rtt_uncertainty,0.8484863238436853,17.954448550117494,0.8751258333333407,0.0,0.6749224536070304,2543.411790068107,0.45053952777780254,0.0,0.8213609494640448,6.493534810598101,0.9970690277778005,0.00184
