stage,variant,ablation,regime,policy,seed_count,ci95_alerts_per_slot,ci95_attacker_trigger_gain,ci95_audit_rate,ci95_budget_violation_rate,ci95_explanation_coverage,ci95_exposure_budget_violation_rate,ci95_exposure_use,ci95_high_risk_explanation_coverage,ci95_local_compute_load,ci95_mean_explanation_debt,ci95_mean_explanation_delay,ci95_mean_packet_delay,ci95_mean_packet_queue,ci95_offload_rate,ci95_packet_drop_rate,ci95_packets_per_slot,ci95_redaction_rate,mean_alerts_per_slot,mean_attacker_trigger_gain,mean_audit_rate,mean_budget_violation_rate,mean_explanation_coverage,mean_exposure_budget_violation_rate,mean_exposure_use,mean_high_risk_explanation_coverage,mean_local_compute_load,mean_mean_explanation_debt,mean_mean_explanation_delay,mean_mean_packet_delay,mean_mean_packet_queue,mean_offload_rate,mean_packet_drop_rate,mean_packets_per_slot,mean_redaction_rate
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,always_explain,20,0.022130015380878002,0.0028496512860387434,0.0,0.0010510291097175584,0.0,0.001467446343321051,0.00522514252048431,0.0,0.022130015380878002,0.0,1.1553399339748533e-15,0.0004276236719130237,0.02187927869187856,0.0,0.0,0.03429348569718693,0.0,12.15655,0.8003212289466038,0.0,0.041249999999999995,1.0,0.65156,2.870296527777607,1.0,12.15655,0.0,0.8499999999999496,0.020188076623225294,1.0331157500000008,0.0,0.0,45.0162,0.0
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,budget_only_bexgov,20,0.017261250699578047,0.0021197759006540717,0.0010825472388677523,0.0,0.0003974666754586728,0.0,0.00036248701017268056,0.0003563871296054648,0.005830328308750928,28.39014045049648,0.00042378558709183986,0.0004029500179573766,0.02081189295429612,0.0,0.0,0.03863199384028464,0.0013269381211690801,12.16068,0.8014249684207992,0.40236513556047654,0.0,0.5042156375557806,0.0,0.8930908611111841,0.7151939777047169,5.316609599999926,8220.38332333705,0.4503404878895124,0.017065489406871127,0.8812064660000001,0.0,0.0,45.00394,0.047978424038452525
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,fifo_explanation,20,0.024433701082338097,0.002467531317210279,0.0,0.0,0.0009577860946863424,0.0008215158210348262,0.0031411318538164847,0.001357178557939305,0.01330361726322257,80.45968107185585,0.00014366791420326638,0.0006161626808861275,0.031653086108174855,0.0,0.0,0.053187431444418565,0.0,12.15774,0.8018724278495967,0.0,0.0,0.8804397260861327,0.60449,2.5273474999998613,0.8328486993521163,10.70406,2580.3459965947773,0.8679340410870301,0.018988099690054765,0.9752302999999918,0.0,0.0,44.981790000000004,0.0
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,never_explain,20,0.024020250022626154,0.002664833661968388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.23432308117387,0.0,0.0005382313931849174,0.027988032445615783,0.0,0.0,0.04799082713852747,0.0,12.169839999999999,0.8031302377009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25940.435456751107,0.0,0.01452173076923077,0.7551300000000001,0.0,0.0,44.99517,0.0
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,rate_limited,20,0.028153456072633157,0.003677576035013843,0.0,1.96e-05,0.0010966244596017905,0.0015030246865640803,0.003377979833759679,0.0007715696175751596,0.01167096251458965,86.51811916021842,0.001365281707426639,0.0006418679248726509,0.03306536428948516,0.0,0.0,0.04631799547076135,0.0,12.164109999999999,0.8020045471872216,0.0,1e-05,0.6785674500067176,0.41163,1.6998061111110592,0.8319106987716903,7.714469199999738,5567.797450651291,0.7201224448807662,0.018132177077127654,0.934034380000002,0.0,0.0,45.00213,0.0
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,static_coarse_full,20,0.021054110571722427,0.003060699395142921,0.0,9.549212147165804e-05,0.0006479224575323536,0.0015103249395934258,0.003999173814178427,0.0003584216863133314,0.017270556816488338,19.55365957802772,0.0005518066492603479,0.000497010862814193,0.025587664948872477,0.0,0.0,0.04251415992571727,0.0,12.16803,0.8026225313084124,0.0,0.00037,0.633015075101284,0.40908999999999995,1.6908624999999575,0.8447781383059925,7.425707999999868,4262.165030324269,0.5203286721001027,0.017795792059650355,0.9163275340000002,0.0,0.0,45.0013,0.0
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,static_offload,20,0.01793656410775421,0.0022455218256819537,0.0,0.0,0.0007465498457503181,0.0012716490048668872,0.0030753382325655414,0.00033322833855453106,0.002716128810435919,35.538313453285916,0.001180145225809674,0.0003733792352969122,0.019381138446453526,0.0008795972847412845,0.0,0.037018900658703544,0.0,12.151959999999999,0.8002505907535559,0.0,0.0,0.575116056896453,0.49399,1.9784561111110694,0.7188105821985945,1.5638703999999448,3723.423484279424,0.8236542344441368,0.015503804258260123,0.80454358,0.5728924022114104,0.0,45.001,0.0
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,threshold_explain,20,0.019530761916848844,0.002302744459957598,0.0,8.578867548869875e-05,0.0007344565563006773,0.0018012928129248545,0.0037518022637804483,0.00042597003275278493,0.016088915147720095,28.182870762515606,0.0006403590919526901,0.000547239231833712,0.028168530562384674,0.0,0.0,0.0398932036738086,0.0,12.154,0.8012879754765052,0.0,0.00026,0.6320006472331874,0.40678000000000003,1.6867972222221792,0.8447980865626196,7.406533999999868,4275.070297970516,0.519577353723664,0.018038864420923128,0.9288694340000001,0.0,0.0,44.98261,0.0
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,xai_gate,20,0.017822434679447115,0.0023912941883123184,0.0003051970677289534,6.729817390186984e-05,0.0011294430126458925,0.0,0.0,0.0013112730660086033,0.010514200444488014,30.53556293845828,0.0005427131072651833,0.0002730499129483552,0.0140739270278665,0.0008515351524485686,0.0,0.044398949481265736,0.001504930468799866,12.135720000000001,0.7979042280122524,0.12776052414931105,0.00016,0.6531957912141986,0.0,1.0,0.7289557389281188,6.653860299993967,2866.1321209110747,0.6470457643892943,0.017414206814012144,0.8976127449999562,0.032459413148943066,0.0,44.99957,0.5537217651122165
unsw_nb15_deduplicated_anchor,default,default,non_markovian,always_explain,20,0.029412745833629354,0.0018717347826116104,0.0,0.000858640609825848,0.0,0.0022685075455485103,0.006944676099604971,0.0,0.029412745833629354,0.0,1.1511259140955356e-15,0.024287519677212974,1.2508003569653299,0.0,0.0010566759098210067,0.11090958442429805,0.0,9.31125,0.1289219166806251,0.0,0.09584000000000001,1.0,0.5438,2.1984895833331572,1.0,9.31125,0.0,0.8499999999999318,1.2832627716702512,65.63753589999997,0.0,0.1402099901349225,54.985659999999996,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,budget_only_bexgov,20,0.02711180601489827,0.001765538439033228,0.0009393969309653923,0.00017409251019289473,0.0006884419748176046,0.0,0.002062194841619818,0.0006573374086709475,0.010792474789717732,41.70827942768058,0.000648094407919746,0.020371975820767267,1.0562374034078748,0.0,0.0006727486018560385,0.12591509492950972,0.0,9.31405,0.12961248351246252,0.2417244385629735,0.00049,0.35084211775227386,0.0,0.49443225000004487,0.6278032436682605,2.810790000000114,5869.86255074433,0.30018899057425447,1.2443936265021665,64.34233243499999,0.0,0.13743776880030104,54.96889,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,fifo_explanation,20,0.03273623722968007,0.0022379954297889405,0.0,0.0,0.0013796586511609728,0.0027483402516696107,0.006956474700023228,0.002215947255114932,0.029462716376571864,69.90578503333475,0.00020694879767421903,0.030184991883011998,1.5557705173034708,0.0,0.0007827783494667764,0.12244655552305692,0.0,9.3285,0.12972810173063073,0.0,0.0,0.8253169427356669,0.45041000000000003,1.817809999999902,0.7018257166501907,7.69896,1716.0276334120852,0.8762024585895706,1.2865716366427058,66.21514454999992,0.0,0.13788516535375128,55.04818,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,never_explain,20,0.021809837568641542,0.0017044557910788033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4751710037286,0.0,0.0196354370678719,1.021042727529332,0.0,0.0008122318894409858,0.11434762846353087,0.0,9.31464,0.12916311270521436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15062.010642856098,0.0,1.236125769230782,64.27853999999999,0.0,0.13548673471544317,54.994510000000005,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,rate_limited,20,0.023056940936276624,0.002234329122153593,0.0,0.0,0.0008423784341716182,0.0,0.0023166409772435816,0.0011603312088096672,0.01099242925101556,63.42472560680008,0.0010177329863208207,0.022485094437832573,1.164330553590986,0.0,0.0008621243594926624,0.07880488136652206,0.0,9.33606,0.1297587794594873,0.0,0.0,0.5413977557213328,0.0,0.8325887500000817,0.6845416128795946,4.272794400000101,4401.010336525845,0.5826404895582085,1.2814483954004103,66.19221860000003,0.0,0.13685545941912447,55.09174,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,static_coarse_full,20,0.0229468036698153,0.0017901376028471461,0.0,0.0005466404880338583,0.0011383206020279895,0.0,0.0036481281321232885,0.0010847666596740337,0.015229724862573357,34.09208335035204,0.0010052250041970464,0.0202318848179275,1.048590378788683,0.0,0.0008205030569244245,0.10189913725541498,0.0,9.33893,0.13117533732755376,0.0,0.01591,0.42087161727820355,0.0,0.8166986111111905,0.7201283241320884,3.689306800000061,4120.270029134197,0.33761058223363655,1.2574515400596966,64.89448747399992,0.0,0.13753224840755848,55.03967,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,static_offload,20,0.023680208747301756,0.0018536398756674854,0.0,0.0,0.0008268941548413585,0.0,0.004059658207095232,0.0007297735045764261,0.003019521849320131,41.20922810251277,0.0013937430265555646,0.016123761167126105,0.8376751553005882,0.001092397541409104,0.0008185534274274755,0.09328717654870605,0.0,9.3094,0.12964359797176192,0.0,0.0,0.3857089279120829,0.0,0.9515572222222476,0.6183643470874115,0.92040559999999,3854.096482911335,0.5247647238194999,1.2420663128802878,64.47289562600011,0.35282043873927366,0.1358695212121253,54.939919999999994,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,threshold_explain,20,0.029468503342918166,0.0019730834617755974,0.0,0.0007107391793426273,0.0007507700926682638,0.0,0.0029117645385295906,0.0006617101064429825,0.012557471040677948,39.23661430588082,0.0006253309346083624,0.019992628349539847,1.0370281694354575,0.0,0.0008253965507340397,0.12847540403013868,0.0,9.32757,0.13077201061351162,0.0,0.01664,0.42119590714245614,0.0,0.8157683333334124,0.7198431870641617,3.6864156000000583,4083.6220563312577,0.3377697730810964,1.2637820891916747,65.22243059199992,0.0,0.13777695349411848,54.99213999999999,0.0
unsw_nb15_deduplicated_anchor,default,default,non_markovian,xai_gate,20,0.03155385988166232,0.002216130979919667,0.0008515424901780788,0.0003471381948385822,0.00044028372665100426,0.0,0.0017203339397110164,0.0007432303128176266,0.014952010291911908,8.887840616977574,0.0009477292132441972,0.019978367547659588,1.0349756208858774,0.0009995965954267426,0.0006145525592017957,0.11341009100573163,0.002658979697932211,9.3131,0.128321033152913,0.14540848339820475,0.0038,0.663330934815295,0.0,0.9057794444444323,0.7713558368131734,3.944686799999854,274.41686033084653,0.7153882820875037,1.2682902002591552,65.59700560400002,0.20474005670700762,0.1363594125483293,55.02584,0.4670317203052946
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,always_explain,20,0.016172015517130652,0.002081639079257933,0.0,7.670536933103526e-05,0.0,0.001930245198495722,0.0038183925526551073,0.0,0.016172015517130652,0.0,1.032305756098991e-15,0.0004675249045309878,0.024062747571122638,0.0,0.0,0.029463208760686883,0.0,7.281409999999999,0.07884016469193862,0.0,0.00017,1.0,0.41895,1.7192218055554567,1.0,7.281409999999999,0.0,0.8499999999999511,0.0180332968814767,0.9287131499999998,0.0,0.0,44.99521,0.0
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,budget_only_bexgov,20,0.016116158220278568,0.0018906177773387947,0.0009123667248151768,0.0,0.000852946392728441,0.0,0.0013005532635711166,0.0006755591475949848,0.007047843108807282,31.473335583862983,0.0007587412451363807,0.0005189692792422753,0.026903961865879403,0.0,0.0,0.044401454069219796,0.0,7.2796899999999996,0.07817394424519207,0.22526008850941576,0.0,0.34164087727664244,0.0,0.3749753055555855,0.6211838076865015,2.131669200000028,2694.736550828391,0.2897269027989141,0.0156806411341384,0.8130801450000001,0.0,0.0,45.01237,0.0
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,fifo_explanation,20,0.018622166732658874,0.0023400066827246615,0.0,0.0,0.00039186819025568287,0.0018343492636498193,0.0041786897967329385,0.0007375647435108791,0.01769798031557631,0.00815355982789944,5.878022853841072e-05,0.0005114465939060777,0.02633606684992522,0.0,0.0,0.03904008105804787,0.0,7.27983,0.07835551537926776,0.0,0.0,0.9910028473750151,0.41289999999999993,1.7033811111110169,0.9832184844341239,7.214319999999999,0.11294016182721187,0.8513495728937001,0.01790456861802911,0.9223476999999987,0.0,0.0,45.005630000000004,0.0
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,never_explain,20,0.018241715948832588,0.0022532919269692923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.41902552727651,0.0,0.0005289920551805085,0.027507586869386456,0.0,0.0,0.04145211750858125,0.0,7.2906,0.07995599315424654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9717.072033101405,0.0,0.014922692307692309,0.77598,0.0,0.0,45.00542,0.0
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,rate_limited,20,0.015387745043514674,0.0021453742963272273,0.0,0.0,0.0007278634246059945,0.0,0.002293264386890705,0.0008855771137443721,0.009656631271243955,0.04122587245068609,0.0007940419938977357,0.0003604822891678508,0.018652836333395744,0.0,0.0,0.036491937527306256,0.0,7.30723,0.08245169030048864,0.0,0.0,0.6342377842400027,0.0,0.7129262500000758,0.7644197743291865,3.808401600000123,1.0577429214162606,0.4509883867327865,0.016087245433780366,0.8323288659999994,0.0,0.0,45.00421,0.0
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,static_coarse_full,20,0.016235974615454524,0.0022723313730537518,0.0,0.0,0.0007821217170921572,0.0,0.0018215533510014966,0.0007467429599179463,0.007731162925582905,30.96799771617583,0.0006628085064366013,0.00043449697259658853,0.022531342305704388,0.0,0.0,0.037423479614752175,0.0,7.29128,0.08006429903705817,0.0,0.0,0.40435474475197336,0.0,0.6073434722222844,0.7058849746254724,2.755940000000071,1494.0767540625602,0.3231438063577038,0.016183819880666743,0.8384966079999991,0.0,0.0,45.00524,0.0
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,static_offload,20,0.01933901633159462,0.0025805314568757756,0.0,0.0,0.0010537390318376748,0.0,0.002690979388724439,0.0006520791729464974,0.0026479581506403797,28.965799432790412,0.0018333267023205354,0.0003985815109996621,0.020706497795681907,0.001064016702415567,0.0,0.030864000212272397,0.0,7.289700000000001,0.07962269585153803,0.0,0.0,0.371434507149441,0.0,0.711135555555584,0.6077609176767742,0.7055528000000162,1281.390340653361,0.6139418540060417,0.014822083929884221,0.7700381180000002,0.3358166156543382,0.0,45.013780000000004,0.0
unsw_nb15_deduplicated_anchor,default,default,rtt_uncertainty,threshold_explain,20,0.01664827470978993,0.0026264333225811606,0.0,0.0,0.0009253024276961462,0.0,0.0020722631030168823,0.0007264824741696135,0.008956263925696102,33.81955522576653,0.0007548458644730722,0.000518284199640011,0.026861165985754235,0.0,0.0,0.04960850990868436,0.0,7.26764,0.07703092962843353,0.0,0.0,0.40402557860512855,0.0,0.6052233333333962,0.7060601256047241,2.745512400000071,1462.0385170816885,0.32295962427002467,0.01566793358240747,0.8117316079999994,0.0,0.0,44.98586,0.0
