regime,xai_high_risk_coverage,xai_mean_debt,xai_exposure_use,xai_exposure_violation,budget_high_risk_coverage,budget_mean_debt,budget_exposure_use,threshold_high_risk_coverage,threshold_exposure_use,threshold_exposure_violation
adversarial_explanation_flood,0.729,2866.1,1.000,0.000,0.715,8220.4,0.893,0.845,1.687,0.407
transient_overload,0.746,3023.7,0.993,0.000,0.641,6811.3,0.564,0.734,0.932,0.000
non_markovian,0.771,274.4,0.906,0.000,0.628,5869.9,0.494,0.720,0.816,0.000
rtt_uncertainty,0.813,0.8,0.663,0.000,0.621,2694.7,0.375,0.706,0.605,0.000
