stage,variant,ablation,regime,policy,seed_count,ci95_alerts_per_slot,ci95_attacker_trigger_gain,ci95_audit_rate,ci95_budget_violation_rate,ci95_explanation_coverage,ci95_exposure_budget_violation_rate,ci95_exposure_use,ci95_high_risk_explanation_coverage,ci95_local_compute_load,ci95_mean_explanation_debt,ci95_mean_explanation_delay,ci95_mean_packet_delay,ci95_mean_packet_queue,ci95_offload_rate,ci95_packet_drop_rate,ci95_packets_per_slot,ci95_redaction_rate,mean_alerts_per_slot,mean_attacker_trigger_gain,mean_audit_rate,mean_budget_violation_rate,mean_explanation_coverage,mean_exposure_budget_violation_rate,mean_exposure_use,mean_high_risk_explanation_coverage,mean_local_compute_load,mean_mean_explanation_debt,mean_mean_explanation_delay,mean_mean_packet_delay,mean_mean_packet_queue,mean_offload_rate,mean_packet_drop_rate,mean_packets_per_slot,mean_redaction_rate
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,always_explain,20,0.02189643210369177,0.0029825869478911785,0.0,0.0008745064123625157,0.0,0.0013247658780248515,0.0051699909133718506,0.0,0.02189643210369177,0.0,1.0344160115772391e-15,0.0003096439941474029,0.015839464450424192,0.0,0.0,0.03752540405072976,0.0,12.14933,0.7995392744015147,0.0,0.040639999999999996,1.0,0.6514,2.8685918055552957,1.0,12.14933,0.0,0.8499999999999229,0.020303246976076446,1.039005350000001,0.0,0.0,45.00906,0.0
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,budget_only_bexgov,20,0.02307575489756799,0.002747186721119804,0.00149644263439423,0.0,0.000373379651081799,0.0,0.000473136548666154,0.0002685657593990751,0.009808700838353153,45.18439670340074,0.0003830618065257437,0.0004188020980148554,0.02160651511423888,0.0,0.0,0.04022330273010763,0.0016381333031082808,12.151869999999999,0.8000273173724046,0.6717010929980296,0.0,0.5940740745863844,0.0,0.9072318055555699,0.736671332271074,6.168474399999877,7946.761591624304,0.5641608938379921,0.017117900946027633,0.8829443180000014,0.0,0.0,45.00619,0.10037304892562542
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,fifo_explanation,20,0.020894432214096554,0.0030872603874400346,0.0,0.0,0.0008022194198526649,0.000691635797070593,0.0027761275188067287,0.0009131605801337745,0.011757716550240105,68.3778879477115,0.00012033291297799239,0.00046096600653904935,0.02367751301138018,0.0,0.0,0.038143936619075225,0.0,12.14774,0.8009930475178851,0.0,0.0,0.8801331048985699,0.6042099999999999,2.5243961111109043,0.8632076020319722,10.691559999999999,2617.479827813646,0.8679800342651426,0.01874158481760029,0.9625640999999922,0.0,0.0,44.966899999999995,0.0
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,never_explain,20,0.02075979740596806,0.0024952252841327375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.93083172423401,0.0,0.00029439527461239454,0.015308554279844564,0.0,0.0,0.032955598828663196,0.0,12.137350000000001,0.8000226833679047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29530.96387316878,0.0,0.01426076923076923,0.74156,0.0,0.0,44.95253,0.0
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,rate_limited,20,0.018432439455653055,0.0028452445725909888,0.0,9.963685642318678e-05,0.0009282403720574721,0.0006355740314657978,0.001767607521794983,0.0009173606729600633,0.006134080222838909,71.55855575154222,0.0006352240524367792,0.0005804380973278123,0.02986047607936366,0.0,0.0,0.0383548510697285,0.0,12.15456,0.800095260436627,0.0,0.00023,0.7716832201956463,0.52971,2.126106805555443,0.8485049440329441,9.18772759999963,4850.541729548632,0.8209376253410309,0.01807750619253286,0.9299773020000044,0.0,0.0,45.01461,0.0
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,static_coarse_full,20,0.024871505786256503,0.0028904325811920247,0.0,0.000433608108294745,0.0007851365624415781,0.0012228958349581127,0.004568743597973569,0.0003615093040083506,0.019324049225619342,28.786975971155453,0.0006871077423671503,0.0003275657842674816,0.01682835089178721,0.0,0.0,0.04260189953946363,0.0,12.12381,0.7977383756250378,0.0,0.00751,0.8213251925875162,0.56654,2.3053288888887504,0.9275958962114146,9.858421999999726,841.5329120428403,0.6917532095128511,0.01880306698455737,0.9651039140000004,0.0,0.0,44.959410000000005,0.0
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,static_offload,20,0.02582522562864698,0.0030629942350771937,0.0,0.0,0.0006950477398616825,0.0013092911187677907,0.006596065024830416,0.0002776397911711306,0.004102170176034524,24.22331296000562,0.0011126912199472365,0.00033930266622316885,0.017605408870299342,0.0008348158376243662,0.0,0.04167566651388862,0.0,12.15906,0.8021930583012574,0.0,0.0,0.7410224129358907,0.63144,2.7157838888887964,0.7818047698929952,1.7190271999999638,194.72792187140362,1.1150243913571827,0.015044093151447242,0.7805213119999999,0.7992559921129521,0.0,44.97867,0.0
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,threshold_explain,20,0.020982006820682273,0.002952543526721721,0.0,0.0005775745948633637,0.00045161180851476017,0.0009604526301368721,0.004331770624006592,0.00025009743732421424,0.01812404956311339,17.9305615919826,0.0003983456498120649,0.0006598930997057501,0.03387817229564617,0.0,0.0,0.04091773643417801,0.0,12.14176,0.797680653922809,0.0,0.0076100000000000004,0.8213703340732141,0.5664399999999999,2.308550416666526,0.9274733236949398,9.87288599999972,852.5543000248765,0.6917457341746891,0.019311970206687516,0.9912207020000003,0.0,0.0,45.02756,0.0
unsw_nb15_calibrated_anchor,default,default,adversarial_explanation_flood,xai_gate,20,0.019956516074178518,0.0020308785882089055,0.00110922476097,0.0002635376333856824,0.001200243974354773,0.0,0.0,0.0013848933193979754,0.00488658504502202,37.44066998345214,0.0004453574748967555,0.00044999658682326097,0.02319109922817345,0.00031142810506498247,0.0,0.04867088480642178,0.0009364127416442732,12.15197,0.8015726503698826,0.1472587608203421,0.00265,0.6124971079590527,0.0,1.0,0.6696198058636408,6.552795574995562,4357.419311060403,0.6679550205416814,0.017356427727545722,0.8946199228749301,0.0035384433617266287,0.0,44.96798,0.4318675037470858
unsw_nb15_calibrated_anchor,default,default,non_markovian,always_explain,20,0.030851335550584117,0.002146020195457361,0.0,0.0007988684840052468,0.0,0.0025208397782025818,0.0072843431161096536,0.0,0.030851335550584117,0.0,1.5633150794228526e-15,0.02489998441962131,1.2848668727993207,0.0,0.0007909370043349129,0.13596445534874968,0.0,9.31129,0.1290282226328144,0.0,0.09674,1.0,0.54267,2.198499027777652,1.0,9.31129,0.0,0.8499999999999515,1.2934652914251445,66.16367429999998,0.0,0.1397418938241844,54.98098,0.0
